X,Y
1,0
1,0
1,5
1,4
1,-4
1,8
1,-2
0,1
0,-2
0,3
0,5
1,5
1,4
1,2
0,5
0,-1
0,-3
-1,-6
0,3
1,2
1,2
1,-1
0,4
1,-4
1,-1
1,1
1,-1
1,0
1,-1
0,5
0,-4
1,-3
0,2
0,-1
0,0
0,-1
1,-3
1,0
1,3
1,-2
1,0
0,2
1,1
1,3
0,-1
0,0
0,0
1,5
1,0
1,3
0,-2
1,2
-1,-4
0,6
1,-1
0,4
1,4
1,-1
0,3
0,3
0,-4
1,6
1,-1
1,-2
0,4
1,4
0,5
0,3
1,6
0,-7
0,-3
0,3
0,2
1,0
0,2
0,-4
0,7
0,7
0,-1
0,7
1,-1
-1,-5
0,-1
0,5
0,2
-1,-5
0,1
0,-4
0,0
0,5
0,2
1,3
1,-1
0,6
1,7
0,2
-1,7
1,0
0,-1
0,7
0,-1
0,6
0,11
0,-4
0,2
-1,4
0,2
0,8
0,-2
0,1
1,1
0,7
0,4
-1,-3
-1,7
0,3
0,1
-1,-4
1,10
1,-5
0,-1
0,7
0,-3
-1,2
-1,0
-1,-4
-1,-6
0,7
-1,-1
0,3
0,3
0,-7
0,3
0,0
0,6
0,6
0,8
1,7
0,2
1,0
0,8
1,-3
0,-3
1,-3
1,-2
1,2
0,6
0,-7
0,6
1,4
0,8
0,11
1,7
1,-4
1,-2
0,3
-1,3
0,6
0,0
0,-3
-1,1
0,5
0,1
0,-2
1,-7
0,-8
0,6
1,3
0,3
0,3
0,5
-1,-3
0,2
0,-2
1,0
2,-27
2,-29
2,-25
2,-23
2,-13
3,-8
3,-13
3,-15
3,-13
3,-12
5,-4
4,-4
5,-2
5,-5
5,-5
4,-3
5,-15
5,-8
4,-16
5,1
6,-8
6,-7
7,-2
6,-13
7,4
6,-6
7,-10
6,-10
6,-16
7,-6
7,-7
8,-7
8,-4
8,-18
8,-13
8,-7
8,-10
9,-15
9,-13
9,-1
10,-12
9,-6
10,-3
10,-9
10,-1
10,-5
10,-10
10,-7
10,-7
11,-9
10,-9
11,-13
10,-11
11,-7
11,-9
11,-10
12,-17
12,-15
12,-9
12,-15
13,-5
13,-19
13,-7
13,-10
13,-6
14,-11
13,-13
14,-11
14,-16
14,-13
13,-11
14,-16
15,-8
15,-15
15,-10
15,-4
15,-12
15,-19
16,-13
16,-9
17,-10
17,-14
17,-9
17,-7
16,-9
17,-15
17,-10
17,-3
17,-17
18,-3
18,-13
18,-8
19,-10
18,-13
19,-11
18,-12
21,-13
19,-8
21,-9
19,-6
20,-13
20,-9
20,-17
19,-9
21,-17
20,-9
21,-13
21,-13
20,-16
21,-17
22,-7
22,-5
21,-10
22,-8
21,-7
22,-19
23,-5
23,-16
24,-11
23,-9
23,-8
25,-9
24,-11
23,-6
23,-2
25,-3
24,-4
25,-7
25,-13
24,-9
25,-10
25,-10
25,-21
25,-15
25,-13
26,-10
26,-5
26,-2
27,-3
26,-10
26,-13
27,-7
27,1
27,-2
27,0
27,3
27,3
28,-8
28,3
28,1
29,7
28,4
29,7
29,0
29,4
30,5
29,4
29,7
29,10
30,10
30,10
30,14
30,22
31,21
31,21
31,19
31,19
31,13
32,25
31,26
32,32
32,20
32,18
31,31
33,30
33,35
32,28
33,31
33,31
33,33
33,31
33,35
34,34
34,35
34,34
34,33
34,24
35,35
34,28
36,32
36,32
35,36
35,35
35,36
36,41
37,39
37,34
37,40
37,39
37,39
37,34
38,41
37,42
37,50
37,42
38,40
38,46
37,46
39,48
39,38
39,39
38,51
40,47
39,47
39,43
41,50
40,44
40,45
40,45
41,48
41,48
41,54
41,47
42,51
41,59
41,52
42,49
42,55
42,54
43,56
42,56
42,53
43,61
42,59
44,65
44,58
44,51
43,52
43,60
44,54
45,59
44,62
44,70
45,72
45,61
45,63
45,67
46,67
45,69
46,75
45,68
46,71
46,76
46,75
47,70
47,74
46,72
46,75
47,75
48,71
48,74
48,69
49,71
48,79
48,79
49,67
