x,y
1055.0,0.01738333
1060.0,0.01177976
1065.0,0.00976627
1070.0,0.00764866
1075.0,0.00632318
1080.0,0.00586335
1085.0,0.00501633
1090.0,0.00434953
1095.0,0.00401154
1100.0,0.00373284
1105.0,0.00336452
1110.0,0.00298889
1115.0,0.00298414
1120.0,0.00268200
1125.0,0.00246758
1130.0,0.00249361
1135.0,0.00229006
1140.0,0.00210750
1145.0,0.00204510
1150.0,0.00198852
1155.0,0.00186250
1160.0,0.00171159
1165.0,0.00176113
1170.0,0.00162609
1175.0,0.00153289
1180.0,0.00158353
1185.0,0.00148370
1190.0,0.00139067
1195.0,0.00137237
1200.0,0.00135523
1205.0,0.00128765
1210.0,0.00119914
1215.0,0.00124917
1220.0,0.00116675
1225.0,0.00111177
1230.0,0.00116013
1235.0,0.00109732
1240.0,0.00103770
1245.0,0.00103267
1250.0,0.00102788
1255.0,0.00098396
1260.0,0.00092284
1265.0,0.00096783
1270.0,0.00090975
1275.0,0.00087216
1280.0,0.00091538
1285.0,0.00087060
1290.0,0.00082764
1295.0,0.00082778
1300.0,0.00082791
1305.0,0.00079618
1310.0,0.00075002
1315.0,0.00078992
1320.0,0.00074554
1325.0,0.00071752
1330.0,0.00075590
1335.0,0.00072153
1340.0,0.00068831
1345.0,0.00069073
1350.0,0.00069307
1355.0,0.00066859
1360.0,0.00063172
1365.0,0.00066726
1370.0,0.00063154
1375.0,0.00060946
1380.0,0.00064375
1385.0,0.00061604
1390.0,0.00058913
1395.0,0.00059261
1400.0,0.00059600
1405.0,0.00057624
1410.0,0.00054566
1415.0,0.00057758
1420.0,0.00054778
1425.0,0.00052969
1430.0,0.00056058
1435.0,0.00053746
1440.0,0.00051493
1445.0,0.00051891
1450.0,0.00052278
1455.0,0.00050631
1460.0,0.00048023
1465.0,0.00050914
1470.0,0.00048364
1475.0,0.00046838
1480.0,0.00049644
1485.0,0.00047666
1490.0,0.00045733
1495.0,0.00046150
1500.0,0.00046558
1505.0,0.00045151
1510.0,0.00042881
1515.0,0.00045521
1520.0,0.00043294
1525.0,0.00041980
1530.0,0.00044547
1535.0,0.00042822
1540.0,0.00041132
1545.0,0.00041554
1550.0,0.00041967
